column_name,slice,precision,recall,f1-score
workclass,Self-emp-inc,0.8725490196078431,0.7807017543859649,0.8240740740740741
workclass,Private,0.7314148681055156,0.6174089068825911,0.6695938529088914
workclass,?,0.7037037037037037,0.5,0.5846153846153846
workclass,Federal-gov,0.6891891891891891,0.6891891891891891,0.6891891891891891
workclass,Local-gov,0.743801652892562,0.72,0.7317073170731707
workclass,Self-emp-not-inc,0.6576576576576577,0.5251798561151079,0.584
workclass,State-gov,0.7222222222222222,0.7027027027027027,0.7123287671232876
workclass,Without-pay,1.0,1.0,1.0
workclass,Never-worked,1.0,1.0,1.0
education,Some-college,0.6990740740740741,0.5431654676258992,0.6113360323886639
education,HS-grad,0.6528497409326425,0.38769230769230767,0.48648648648648646
education,12th,1.0,0.0,0.0
education,Bachelors,0.7336244541484717,0.7601809954751131,0.7466666666666667
education,11th,0.75,0.2727272727272727,0.39999999999999997
education,Masters,0.7980295566502463,0.8481675392670157,0.8223350253807106
education,10th,1.0,0.16666666666666666,0.2857142857142857
education,9th,1.0,0.14285714285714285,0.25
education,Assoc-voc,0.6538461538461539,0.5483870967741935,0.5964912280701755
education,Assoc-acdm,0.7083333333333334,0.5964912280701754,0.6476190476190476
education,7th-8th,1.0,0.07692307692307693,0.14285714285714288
education,Doctorate,0.8,0.835820895522388,0.8175182481751825
education,1st-4th,1.0,1.0,1.0
education,5th-6th,1.0,1.0,1.0
education,Prof-school,0.8387096774193549,0.9629629629629629,0.896551724137931
education,Preschool,1.0,1.0,1.0
marital-status,Married-civ-spouse,0.7252215954875101,0.6746626686656672,0.6990291262135923
marital-status,Never-married,0.8181818181818182,0.4368932038834951,0.5696202531645569
marital-status,Widowed,1.0,0.21428571428571427,0.35294117647058826
marital-status,Divorced,0.8333333333333334,0.375,0.5172413793103448
marital-status,Separated,1.0,0.3,0.4615384615384615
marital-status,Married-spouse-absent,1.0,0.42857142857142855,0.6
marital-status,Married-AF-spouse,1.0,0.0,0.0
occupation,Exec-managerial,0.7937853107344632,0.7960339943342776,0.7949080622347948
occupation,Craft-repair,0.6910569105691057,0.4292929292929293,0.5295950155763239
occupation,Transport-moving,0.696969696969697,0.40350877192982454,0.5111111111111111
occupation,Sales,0.7559523809523809,0.5879629629629629,0.6614583333333333
occupation,Other-service,0.42857142857142855,0.10714285714285714,0.17142857142857143
occupation,Machine-op-inspct,0.6153846153846154,0.37209302325581395,0.463768115942029
occupation,?,0.7037037037037037,0.5,0.5846153846153846
occupation,Tech-support,0.6491228070175439,0.6065573770491803,0.6271186440677966
